LocationId,LocationName,DiseasesQtyMalaria,DiseasesRankMalaria,DiseasesQtyGastroEnteritis,DiseasesRankGastroEnteritis,DiseasesQtyHIVAids,DiseasesRankHIVAids,DiseasesQtyTB,DiseasesRankTB,DiseasesQtyWorms,DiseasesRankWorms,DiseasesQtyURTILRTI,DiseasesRankURTILRTI,DiseasesQtyUTI,DiseasesRankUTI,DiseasesQtyGonorrhoea,DiseasesRankGonorrhoea,DiseasesQtySTD,DiseasesRankSTD,DiseasesQtySkinInfection,DiseasesRankSkinInfection,DiseasesQtyEyeInfection,DiseasesRankEyeInfection,DiseasesQtyAnaemia,DiseasesRankAnaemia,DiseasesQtyMalnutrition,DiseasesRankMalnutrition
1,Amaiya,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0
2,Angata Nanyukie,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0
3,Arsim,1256,0.0,296,0,0,0,7,0,24,0,1485,0,125.0,0.0,27.0,0.0,26,0,135,0.0,1045,0,18,0,459,0
5,Baragoi,1395,0.0,699,0,27,0,50,0,112,0,3369,0,5.0,0.0,0.0,0.0,0,0,270,,192,0,11,0,15,0
6,Barsaloi,1116,0.0,124,0,0,0,0,0,0,0,151,0,0.0,0.0,5.0,0.0,0,0,10,0.0,8,0,0,0,0,0
7,Elbarta,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0
9,Kiromon,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0
10,Kisima,3914,1.0,1411,3,3,12,9,11,189,6,3759,2,123.0,7.0,52.0,8.0,0,0,604,4.0,312,5,13,10,26,9
11,Latakweny,652,0.0,56,0,0,0,4,0,4,0,732,0,10.0,0.0,72.0,0.0,0,0,60,0.0,50,0,10,0,5,0
12,Lbukoi,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0
13,Lodokejek,1127,2.0,352,11,0,0,36,0,660,3,1199,12,400.0,5.0,120.0,0.0,100,0,162,4.0,727,2,54,0,338,12
14,Lodongokwe,4212,1.0,48,7,0,0,0,0,600,3,3972,2,36.0,8.0,22.0,5.0,0,0,120,6.0,276,4,0,0,0,0
15,Loosuk,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0
16,Maralal Town,840,0.0,360,0,0,0,12,0,60,0,5160,0,660.0,0.0,24.0,0.0,0,0,240,0.0,120,0,36,0,48,0
17,Marti,936,0.0,254,0,1,0,2,0,234,0,1314,0,42.0,0.0,18.0,0.0,30,0,318,0.0,72,0,6,0,30,0
18,Nachola,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0
19,Nairimirimo,750,1.0,89,3,0,0,0,0,0,0,561,2,26.0,7.0,44.0,4.0,0,0,28,5.0,28,5,10,8,0,0
20,Ndoto,579,,192,0,1,0,0,0,41,0,1048,0,164.0,0.0,0.0,0.0,0,0,198,0.0,188,0,17,0,4,0
22,Ngilai,1165,4.0,276,8,4,11,36,8,1210,7,519,5,0.0,0.0,40.0,7.0,70,7,110,12.0,272,8,24,10,75,14
23,Opiroi,560,2.0,497,3,2,13,4,11,300,5,672,1,280.0,6.0,124.0,8.0,107,9,240,7.0,360,4,3,12,50,10
25,Poro,173,4.0,291,3,0,0,2,7,2,7,889,3,88.0,0.0,0.0,0.0,0,0,44,5.0,7,6,0,0,2,7
26,Sereolipi,1800,1.0,360,7,0,0,0,0,390,6,1600,2,24.0,8.0,8.0,9.0,0,0,600,5.0,1200,3,720,4,0,0
27,Sirata-Oirobi,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0
28,South Horr,1525,2.0,551,3,0,0,8,11,175,9,1864,5,75.0,6.0,78.0,5.0,10,0,94,8.0,119,7,47,10,241,0
29,Suguta Marmar,2988,2.0,2114,3,8,0,49,7,144,6,3924,1,472.0,0.0,44.0,0.0,13,0,622,4.0,358,5,7,0,22,0
31,Tuum,160,10.0,259,10,0,0,7,0,10,0,799,50,49.0,0.0,44.0,0.0,45,0,53,0.0,47,0,24,2,13,0
32,Uaso Rongai,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0
33,Wamba,10616,4.0,4108,8,146,7,11,19,662,12,7180,9,576.0,12.0,320.0,14.0,110,8,3276,11.0,1464,15,100,27,82,19
34,Waso East,1246,2.0,49,8,0,0,13,9,5,10,2165,1,67.0,5.0,5.0,1.0,60,7,510,3.0,129,4,12,10,65,6
35,Waso West,1200,3.0,2500,1,0,0,0,0,1200,3,1400,2,560.0,6.0,200.0,8.0,0,0,400,7.0,960,5,0,0,20,9
